method,snapshot_t,graph_change,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches
Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Local Search,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offline DP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold,1,0.07834393568834559,0.18,0.0,0.6,0.18,0.0,0.6
Param,1,0.07834393568834559,0.06,0.0,0.2,0.06,0.0,0.2
State,1,0.07834393568834559,0.06,0.0,0.2,0.06,0.0,0.2
Combined,1,0.07834393568834559,0.0,0.0,0.0,0.0,0.0,0.0
Greedy,1,0.07834393568834559,0.0,0.0,0.0,0.0,0.0,0.0
Local Search,1,0.07834393568834559,0.0,0.0,0.0,0.0,0.0,0.0
Offline DP,1,0.07834393568834559,0.0,0.0,0.0,0.0,0.0,0.0
Cold,2,0.030120949113020545,0.18,0.0,0.6,0.36,0.0,1.2
Param,2,0.030120949113020545,0.06,0.0,0.2,0.12,0.0,0.4
State,2,0.030120949113020545,0.06,0.0,0.2,0.12,0.0,0.4
Combined,2,0.030120949113020545,0.0,0.0,0.0,0.0,0.0,0.0
Greedy,2,0.030120949113020545,0.0,0.0,0.0,0.0,0.0,0.0
Local Search,2,0.030120949113020545,0.0,0.0,0.0,0.0,0.0,0.0
Offline DP,2,0.030120949113020545,0.0,0.0,0.0,0.0,0.0,0.0
Cold,3,0.038773283269301836,0.18,0.0,0.5999999999999999,0.54,0.0,1.7999999999999998
Param,3,0.038773283269301836,0.06,0.0,0.20000000000000007,0.18,0.0,0.6000000000000001
State,3,0.038773283269301836,0.06,0.0,0.20000000000000007,0.18,0.0,0.6000000000000001
Combined,3,0.038773283269301836,0.0,0.0,0.0,0.0,0.0,0.0
Greedy,3,0.038773283269301836,0.0,0.0,0.0,0.0,0.0,0.0
Local Search,3,0.038773283269301836,0.0,0.0,0.0,0.0,0.0,0.0
Offline DP,3,0.038773283269301836,0.0,0.0,0.0,0.0,0.0,0.0
Cold,4,0.08603090997083108,0.18,0.0,0.6000000000000001,0.72,0.0,2.4
Param,4,0.08603090997083108,0.08767194427664864,0.08767194427664864,0.0,0.26767194427664864,0.08767194427664864,0.6000000000000001
State,4,0.08603090997083108,0.08767194427664864,0.08767194427664864,0.0,0.26767194427664864,0.08767194427664864,0.6000000000000001
Combined,4,0.08603090997083108,0.0,0.0,0.0,0.0,0.0,0.0
Greedy,4,0.08603090997083108,0.0,0.0,0.0,0.0,0.0,0.0
Local Search,4,0.08603090997083108,0.0,0.0,0.0,0.0,0.0,0.0
Offline DP,4,0.08603090997083108,0.0,0.0,0.0,0.0,0.0,0.0
Cold,5,0.26701335554474975,0.22502511439539197,0.10502511439539197,0.3999999999999999,0.9450251143953919,0.10502511439539197,2.8
Param,5,0.26701335554474975,0.2318836075030316,0.1118836075030316,0.3999999999999999,0.49955555177968025,0.19955555177968023,1.0
State,5,0.26701335554474975,0.18953939190939514,0.12953939190939512,0.19999999999999996,0.4572113361860438,0.21721133618604377,0.8
Combined,5,0.26701335554474975,0.12953939190939515,0.12953939190939515,0.0,0.12953939190939515,0.12953939190939515,0.0
Greedy,5,0.26701335554474975,0.28502511439539197,0.10502511439539197,0.6,0.28502511439539197,0.10502511439539197,0.6
Local Search,5,0.26701335554474975,0.28502511439539197,0.10502511439539197,0.6,0.28502511439539197,0.10502511439539197,0.6
Offline DP,5,0.26701335554474975,0.12953939190939515,0.12953939190939515,0.0,0.12953939190939515,0.12953939190939515,0.0
Cold,6,0.03236535888434987,0.22272492430072433,0.10272492430072433,0.3999999999999999,1.1677500386961164,0.2077500386961163,3.1999999999999997
Param,6,0.03236535888434987,0.1816916684883904,0.12169166848839039,0.19999999999999996,0.6812472202680706,0.3212472202680706,1.2
State,6,0.03236535888434987,0.1816916684883904,0.12169166848839041,0.19999999999999996,0.6389030046744342,0.3389030046744342,1.0
Combined,6,0.03236535888434987,0.12850679754629118,0.1285067975462912,0.0,0.25804618945568636,0.25804618945568636,0.0
Greedy,6,0.03236535888434987,0.11660041033363086,0.11660041033363086,0.0,0.4016255247290228,0.22162552472902283,0.6
Local Search,6,0.03236535888434987,0.11660041033363086,0.11660041033363086,0.0,0.4016255247290228,0.22162552472902283,0.6
Offline DP,6,0.03236535888434987,0.12850679754629118,0.1285067975462912,0.0,0.25804618945568636,0.25804618945568636,0.0
Cold,7,0.02492769220456494,0.24064654861585488,0.12064654861585489,0.3999999999999999,1.4083965873119713,0.3283965873119712,3.5999999999999996
Param,7,0.02492769220456494,0.16546174761422305,0.10546174761422306,0.19999999999999996,0.8467089678822937,0.4267089678822937,1.4
State,7,0.02492769220456494,0.16546174761422305,0.10546174761422306,0.19999999999999996,0.8043647522886572,0.44436475228865724,1.2
Combined,7,0.02492769220456494,0.13609696714165342,0.13609696714165342,0.0,0.3941431565973398,0.3941431565973398,0.0
Greedy,7,0.02492769220456494,0.12064654861585487,0.12064654861585486,0.0,0.5222720733448777,0.3422720733448777,0.6
Local Search,7,0.02492769220456494,0.12064654861585487,0.12064654861585486,0.0,0.5222720733448777,0.3422720733448777,0.6
Offline DP,7,0.02492769220456494,0.13609696714165342,0.13609696714165342,0.0,0.3941431565973398,0.3941431565973398,0.0
Cold,8,0.04167516454634406,0.22949850086540494,0.16949850086540497,0.20000000000000018,1.6378950881773762,0.49789508817737615,3.8
Param,8,0.04167516454634406,0.18285499083027346,0.12285499083027346,0.19999999999999996,1.0295639587125671,0.5495639587125671,1.5999999999999999
State,8,0.04167516454634406,0.18285499083027346,0.1228549908302734,0.19999999999999996,0.9872197431189307,0.5672197431189306,1.4
Combined,8,0.04167516454634406,0.1383529695451586,0.13835296954515863,0.0,0.5324961261424984,0.5324961261424984,0.0
Greedy,8,0.04167516454634406,0.13053288836775823,0.13053288836775823,0.0,0.6528049617126359,0.4728049617126359,0.6
Local Search,8,0.04167516454634406,0.13053288836775823,0.13053288836775823,0.0,0.6528049617126359,0.4728049617126359,0.6
Offline DP,8,0.04167516454634406,0.1383529695451586,0.13835296954515863,0.0,0.5324961261424984,0.5324961261424984,0.0
Cold,9,0.037613628826601436,0.2320131160046221,0.1720131160046221,0.20000000000000018,1.8699082041819983,0.6699082041819983,4.0
Param,9,0.037613628826601436,0.1768840547867657,0.11688405478676567,0.19999999999999996,1.2064480134993327,0.6664480134993328,1.7999999999999998
State,9,0.037613628826601436,0.1768840547867657,0.11688405478676567,0.19999999999999996,1.1641037979056963,0.6841037979056963,1.5999999999999999
Combined,9,0.037613628826601436,0.13506213135864015,0.1350621313586401,0.0,0.6675582575011385,0.6675582575011385,0.0
Greedy,9,0.037613628826601436,0.14666759013581,0.14666759013580993,0.0,0.7994725518484459,0.6194725518484459,0.6
Local Search,9,0.037613628826601436,0.14666759013581,0.14666759013580993,0.0,0.7994725518484459,0.6194725518484459,0.6
Offline DP,9,0.037613628826601436,0.13506213135864015,0.1350621313586401,0.0,0.6675582575011385,0.6675582575011385,0.0
