method,snapshot_t,evaluation,objective_value,best_so_far
Cold,0,1,0.22866271955297127,0.22866271955297127
Cold,0,2,0.3168816616590503,0.22866271955297127
Cold,0,3,0.21430457786320037,0.21430457786320037
Cold,0,4,0.3011210760628988,0.21430457786320037
Cold,0,5,0.3311998248901214,0.21430457786320037
Cold,0,6,0.2384452957988911,0.21430457786320037
Cold,0,7,0.21094527552012762,0.21094527552012762
Cold,0,8,0.22112986103065765,0.21094527552012762
Cold,1,1,0.5153126552785955,0.5153126552785955
Cold,1,2,0.4971926595417384,0.4971926595417384
Cold,1,3,0.522036132767542,0.4971926595417384
Cold,1,4,0.5429403109676073,0.4971926595417384
Cold,1,5,0.5002773074658698,0.4971926595417384
Cold,1,6,0.5544701212162475,0.4971926595417384
Cold,1,7,0.5252242379084158,0.4971926595417384
Cold,1,8,0.5388312905669403,0.4971926595417384
Cold,2,1,0.5165652228388935,0.5165652228388935
Cold,2,2,0.5244836944856064,0.5165652228388935
Cold,2,3,0.5083270778382144,0.5083270778382144
Cold,2,4,0.5195589776568162,0.5083270778382144
Cold,2,5,0.5288220157059611,0.5083270778382144
Cold,2,6,0.5097833387685745,0.5083270778382144
Cold,2,7,0.5156997635823013,0.5083270778382144
Cold,2,8,0.5326463315941412,0.5083270778382144
Cold,3,1,0.692931435711852,0.692931435711852
Cold,3,2,0.658210304451332,0.658210304451332
Cold,3,3,0.6633291654515754,0.658210304451332
Cold,3,4,0.5623114269082478,0.5623114269082478
Cold,3,5,0.5851818584904265,0.5623114269082478
Cold,3,6,0.5259784928175077,0.5259784928175077
Cold,3,7,0.5913627757671693,0.5259784928175077
Cold,3,8,0.5850221916030162,0.5259784928175077
Cold,4,1,0.52582976987245,0.52582976987245
Cold,4,2,0.5416190842776099,0.52582976987245
Cold,4,3,0.5345665085967064,0.52582976987245
Cold,4,4,0.5866273261223511,0.52582976987245
Cold,4,5,0.4810481754687734,0.4810481754687734
Cold,4,6,0.5447599202580196,0.4810481754687734
Cold,4,7,0.48401960780308667,0.4810481754687734
Cold,4,8,0.4657023385945391,0.4657023385945391
Param,0,1,0.22866271955297127,0.22866271955297127
Param,0,2,0.3168816616590503,0.22866271955297127
Param,0,3,0.21430457786320037,0.21430457786320037
Param,0,4,0.3011210760628988,0.21430457786320037
Param,0,5,0.3311998248901214,0.21430457786320037
Param,0,6,0.2384452957988911,0.21430457786320037
Param,0,7,0.21094527552012762,0.21094527552012762
Param,0,8,0.22112986103065765,0.21094527552012762
Param,1,1,0.45995108796045914,0.45995108796045914
Param,1,2,0.5156759961784542,0.45995108796045914
Param,1,3,0.45775282630563874,0.45775282630563874
Param,1,4,0.5115294057009042,0.45775282630563874
Param,1,5,0.5277331954323269,0.45775282630563874
Param,1,6,0.4591440990672134,0.45775282630563874
Param,1,7,0.48611886623197204,0.45775282630563874
Param,1,8,0.4564896577017868,0.4564896577017868
Param,2,1,0.5231628649594976,0.5231628649594976
Param,2,2,0.49478204305942475,0.49478204305942475
Param,2,3,0.5100702905995279,0.49478204305942475
Param,2,4,0.5360058319081775,0.49478204305942475
Param,2,5,0.5235001099196923,0.49478204305942475
Param,2,6,0.5228725303810031,0.49478204305942475
Param,2,7,0.5215592842661526,0.49478204305942475
Param,2,8,0.5286014859257966,0.49478204305942475
Param,3,1,0.6034683147869943,0.6034683147869943
Param,3,2,0.5472070489068553,0.5472070489068553
Param,3,3,0.5439497685918329,0.5439497685918329
Param,3,4,0.565980322944923,0.5439497685918329
Param,3,5,0.5627988906032155,0.5439497685918329
Param,3,6,0.5818327873474839,0.5439497685918329
Param,3,7,0.5562821762988854,0.5439497685918329
Param,3,8,0.5328041405623695,0.5328041405623695
Param,4,1,0.5181913844314214,0.5181913844314214
Param,4,2,0.5382750429922925,0.5181913844314214
Param,4,3,0.5125954604014683,0.5125954604014683
Param,4,4,0.52572910868343,0.5125954604014683
Param,4,5,0.5752794785099712,0.5125954604014683
Param,4,6,0.5014573044691222,0.5014573044691222
Param,4,7,0.5106697046762089,0.5014573044691222
Param,4,8,0.4831601802564348,0.4831601802564348
State,0,1,0.22866271955297127,0.22866271955297127
State,0,2,0.3168816616590503,0.22866271955297127
State,0,3,0.21430457786320037,0.21430457786320037
State,0,4,0.3011210760628988,0.21430457786320037
State,0,5,0.3311998248901214,0.21430457786320037
State,0,6,0.2384452957988911,0.21430457786320037
State,0,7,0.21094527552012762,0.21094527552012762
State,0,8,0.22112986103065765,0.21094527552012762
State,1,1,0.5306492721998923,0.5306492721998923
State,1,2,0.5264685337741684,0.5264685337741684
State,1,3,0.5033171333513965,0.5033171333513965
State,1,4,0.4232228314930489,0.4232228314930489
State,1,5,0.4265478796396519,0.4232228314930489
State,1,6,0.4205564244839729,0.4205564244839729
State,1,7,0.42404337759951966,0.4205564244839729
State,1,8,0.4415846741107489,0.4205564244839729
State,2,1,0.28288373084571383,0.28288373084571383
State,2,2,0.03347392577959407,0.03347392577959407
State,2,3,0.04576197482220073,0.03347392577959407
State,2,4,0.3199690790251747,0.03347392577959407
State,2,5,0.036477560520354925,0.03347392577959407
State,2,6,0.1809890360900841,0.03347392577959407
State,2,7,0.026815980159424917,0.026815980159424917
State,2,8,0.09704341571307076,0.026815980159424917
State,3,1,0.05835795190419713,0.05835795190419713
State,3,2,0.16340069916736696,0.05835795190419713
State,3,3,0.04164102189239017,0.04164102189239017
State,3,4,0.1272354716825171,0.04164102189239017
State,3,5,0.503937263007463,0.04164102189239017
State,3,6,0.0034368163236926227,0.0034368163236926227
State,3,7,0.008250737660958189,0.0034368163236926227
State,3,8,0.01015760977446516,0.0034368163236926227
State,4,1,0.4781868070389876,0.4781868070389876
State,4,2,0.5584330417171645,0.4781868070389876
State,4,3,0.4895587634632297,0.4781868070389876
State,4,4,0.5611391381170401,0.4781868070389876
State,4,5,0.024991444122320194,0.024991444122320194
State,4,6,0.535715666596353,0.024991444122320194
State,4,7,0.029272523622733013,0.024991444122320194
State,4,8,0.09574197216324107,0.024991444122320194
Combined,0,1,0.22866271955297127,0.22866271955297127
Combined,0,2,0.3168816616590503,0.22866271955297127
Combined,0,3,0.21430457786320037,0.21430457786320037
Combined,0,4,0.3011210760628988,0.21430457786320037
Combined,0,5,0.3311998248901214,0.21430457786320037
Combined,0,6,0.2384452957988911,0.21430457786320037
Combined,0,7,0.21094527552012762,0.21094527552012762
Combined,0,8,0.22112986103065765,0.21094527552012762
Combined,1,1,0.00536377335388294,0.00536377335388294
Combined,1,2,0.27469615441061,0.00536377335388294
Combined,1,3,0.0032866549850824847,0.0032866549850824847
Combined,1,4,0.2077140056961467,0.0032866549850824847
Combined,1,5,0.4909807733351705,0.0032866549850824847
Combined,1,6,0.020808593089905982,0.0032866549850824847
Combined,1,7,0.07999360482214671,0.0032866549850824847
Combined,1,8,0.003108418559609753,0.003108418559609753
Combined,2,1,0.0037305804325907977,0.0037305804325907977
Combined,2,2,0.2747892363926951,0.0037305804325907977
Combined,2,3,0.0047229862126239525,0.0037305804325907977
Combined,2,4,0.231714423733325,0.0037305804325907977
Combined,2,5,0.4660712194398033,0.0037305804325907977
Combined,2,6,0.022696028701788523,0.0037305804325907977
Combined,2,7,0.06834032210433105,0.0037305804325907977
Combined,2,8,0.006350295476516425,0.0037305804325907977
Combined,3,1,0.0030493077810704026,0.0030493077810704026
Combined,3,2,0.29080306522151905,0.0030493077810704026
Combined,3,3,0.004660493448633831,0.0030493077810704026
Combined,3,4,0.2256349059400616,0.0030493077810704026
Combined,3,5,0.4825769489549426,0.0030493077810704026
Combined,3,6,0.025735736679053375,0.0030493077810704026
Combined,3,7,0.004508425337143474,0.0030493077810704026
Combined,3,8,0.09616293146481597,0.0030493077810704026
Combined,4,1,0.004641140932512052,0.004641140932512052
Combined,4,2,0.2173416662177796,0.004641140932512052
Combined,4,3,0.005771676324072827,0.004641140932512052
Combined,4,4,0.23878551060676886,0.004641140932512052
Combined,4,5,0.4713561614007879,0.004641140932512052
Combined,4,6,0.022765516270455373,0.004641140932512052
Combined,4,7,0.09789736993126207,0.004641140932512052
Combined,4,8,0.004648669170496893,0.004641140932512052
